6545ZZZrun:org.apache.cordova.splashscreen.SplashScreen$6:$r4 = new android.widget.RelativeLayout$LayoutParams
25024ZZZloadUrl:org.apache.cordova.engine.SystemWebViewEngine:$r2 = $r0.<org.apache.cordova.engine.SystemWebViewEngine: org.apache.cordova.engine.SystemWebView webView>
6899ZZZloadUrl:org.apache.cordova.engine.SystemWebViewEngine:$r2 = $r0.<org.apache.cordova.engine.SystemWebViewEngine: org.apache.cordova.engine.SystemWebView webView>
6515ZZZrun:org.apache.cordova.splashscreen.SplashScreen$6:$r11 = new org.apache.cordova.splashscreen.SplashScreen$6$1
11586ZZZloadUrl:org.apache.cordova.engine.SystemWebViewEngine:$r2 = $r0.<org.apache.cordova.engine.SystemWebViewEngine: org.apache.cordova.engine.SystemWebView webView>
25022ZZZloadUrlIntoView:org.apache.cordova.CordovaWebViewImpl:$r6 = $r0.<org.apache.cordova.CordovaWebViewImpl: org.apache.cordova.CordovaWebViewEngine engine>
11584ZZZloadUrlIntoView:org.apache.cordova.CordovaWebViewImpl:$r6 = $r0.<org.apache.cordova.CordovaWebViewImpl: org.apache.cordova.CordovaWebViewEngine engine>
11346ZZZremoveSplashScreen:org.apache.cordova.splashscreen.SplashScreen:$r1 = new org.apache.cordova.splashscreen.SplashScreen$4
6897ZZZrun:org.apache.cordova.CordovaWebViewImpl$3:$z0 = $r0.<org.apache.cordova.CordovaWebViewImpl$3: boolean val$_recreatePlugins>
6896ZZZrun:org.apache.cordova.CordovaWebViewImpl$3:$r6 = $r0.<org.apache.cordova.CordovaWebViewImpl$3: java.lang.String val$url>
6895ZZZrun:org.apache.cordova.CordovaWebViewImpl$3:$r5 = $r1.<org.apache.cordova.CordovaWebViewImpl: org.apache.cordova.CordovaWebViewEngine engine>
6894ZZZrun:org.apache.cordova.CordovaWebViewImpl$3:$r1 = $r0.<org.apache.cordova.CordovaWebViewImpl$3: org.apache.cordova.CordovaWebViewImpl this$0>
